,Song,Artist,Genre,Lyrics
706,Too High to Cry,Koe Wetzel,Country,"I promise you now That I'll forget you By the time this Backwoods burns out Once you're gone, I'll go back to All the pills and cocaine And all the other shit That I was told not to do You owe me more than just packing up and leaving Out here in the dark, seems like a fun place to be I'm sure in the morning when I'm coming down I'll be alone and scared no doubt But I'm too high to cry right now I found myself in San Antonio, Texas Betting money on a sorry ass basketball game Now on the river, I met the love of my life But I was too fucked up to remember her name You owe me more than just packing up and leaving Out here in the dark, seems like a fun place to be I'm sure in the morning when I'm coming down I'll be alone and scared no doubt But I'm too high to cry right now Cuz I'm too high to cry And I wouldn't give a fuck if you went and died Girl, I'm too high to cry right nowEmbedShare URLCopyEmbedCopy"
707,Fuss & Fight,Koe Wetzel,Country,I've been working like a slave Ain't got no money Done spent it all on pills Got a girl at home that I call baby And she does not love me when I get stoned The memories they just won't leave The secrets I'm gonna take to the grave with me I got bills that ain't paid and pain that don't heal I don't know how much longer I can deal Is something wrong baby Tell me what you're thinking If it's that damn bad then keep it to yourself I got a long way to get to where I'm going And I ain't got time To fuss and fight with you Well my grandma thinks the devil runs me And the cross on my neck says no hell no I got the Holy Spirit And Baptist bones A couple rusty strings with some nasty tones So please don't bring no evil around me Sitting and lying through your crooked teeth I gotta go now baby so write it down And I'll read it when my time runs out Is there something wrong baby Tell me what you're thinking If it's that damn bad then keep it to yourself I got a long way to get to where I'm going And I ain't got time To fuss and fight with you To fuss and fight with you Girl you know that I love you And you know that I care But babydoll this fussing and fightings for the birds Is something wrong baby Tell me what you're thinking If it's that damn bad then keep it to yourself I got a long way to get to where I'm going And I ain't got the time Is there something wrong baby Tell me what you're thinking If it's that damn bad then keep it to yourself I got a long way to get to where I'm going And I ain't got time To fuss and fight with you To fuss and fight with you Don't want to fuss and fight Don't want to fuss and fightEmbedShare URLCopyEmbedCopy
708,I’ll Be Fine,Koe Wetzel,Country,She stands up strong despite all the hell she's been through And those careless deep dark eyes can tell it all She throws her bag and Bible in the back seat While she listens to 14 Miles From Home She dreams of livin' life out on a mountain And honestly that don't bother me at all 'Cause I bet we can find one in deep East Texas Where the big pine trees are the only view we got I'll be fine Oh baby I'll be fine She knows that I'll be there when stuff gets nasty And she swears that downtown Fort Worth holds it all And she's all I ever want And she'll be there when I call Gettin' all dressed up For one night on the town I'll be fine Oh baby I'll be fine And she's all I ever want And she'll be there when I call Gettin' all dressed up One night on the town And she's all I ever want And she'll be there when I call Gettin' all dressed up One night on the town I'll be fine Oh baby I'll be fineEmbedShare URLCopyEmbedCopy
709,Honey Pain,Koe Wetzel,Country,"Take away my pain honey I'm sick and tired of this rain I drink away my pain honey Until I'm begging for the rain Oh yeah Wipe away those tears honey I can't catch em this time I know your nights have been hard baby Since I said my last goodbyes Oh yeah Swear that you'll be fine honey And the pain you feel won't stay too long Don't you worry about me honey Just like you I'll move on Take away my pain honey I'm sick and tired of this rain I drink away my pain honey Until I'm begging for the rain Oh yeah I don't wanna ask forgiveness, my pride is too small to see And there ain't no sense in saying I'm sorry even if I wanna be This life I live is full of heartbreak, I guess it's easier for me I'm sorry And she said, take away my pain honey I'm sick and tired of this rain I drink away my pain honey Until I'm begging for the rain Oh yeah  Oh yeah So take away my pain honey I'm sick and tired of this rain I drink away my pain honey Until I'm begging for the rain Until I'm begging for the rain Oh yeah Oh yeah The rain Oh yeah So take away my pain honeyEmbedShare URLCopyEmbedCopy"
710,Austin,Koe Wetzel,Country,"One, two, three  These sleepin' pills ain't workin' for me I'm wide awake talkin' to these naked walls They ain't got too much to say, and I get tired And my mind goes out the gutter The past and present run together Kinda like they used to  I can't believe that you're not alone Happy as hell and you done moved on Heard he's a banker down in Austin I thought you always hated it there Write me a letter or answer your phone, just Don't make me believe these things I can't believe  It's 4 AM You never answer this late If you do it's unexpected And if you do it turns out great But only for a little while 'Til you've realized what you've done 'Til you see that mornin' sun You always tuck your tail and you start to run And I can't believe that you're not alone You're happy as hell and you done moved on And I can't believe you're south of Austin You told me that you hated it there Write me a letter or answer your phone, just Don't make me believe these things I can't believe  And I can't believe that you're not at home Happy as hell and you done moved on And I can't believe you're leavin' Austin I knew you always hated it there Write me a letter or answer your phone, just Don't make me believe these things I can't believe Don't make me believe these things I can't I can't believe  That was it, that was it right there Let me hear it, play it back1EmbedShare URLCopyEmbedCopy"
711,Shadow People,Koe Wetzel,Country,"I've been out of my mind here lately 'Till we were staying in What's my name if you don't mind? I see the world ain't fixed Got the town in a pool game I'm always better when I'm high See my girl change her last name And I'm so happy it ain't mine  I'm I dreamin'? Is it something that I've done To push you away The things I've loved There's something that won't be enough Am I crazy? Should we throw away the key? And leave me locked up With the screams of the shadow people that talk to me  I've been talking to God here lately He must be busy, I guess 'Cause all I've heard is ringin' All the halls got me spinnin' He ain't askin' me yet What the hell is wrong with me? I'm not the kid I used to be If I tell you I can change You should be rude and exchange Please have a blessed day I'm I dreamin'? Is it something that I've done To push you away The things I've loved There's something that won't be enough Am I crazy? Should we throw away the key? And leave me locked up With the screams of the shadow people that talk to me  Please don't talk to me Please don't talk to me Please don't talk to me  I'm I dreamin'? Is it something that I've done To push you away The things I've loved There's something that won't be enough Am I crazy? Should we throw away the key? And leave me locked up With the screams of the shadow people that talk to me ​ Ohhh Am I crazy? Should we throw away the key? To a place where I'm locked up With the screams of the shadow people that talk to meEmbedShare URLCopyEmbedCopy"
712,The Worst Part,Koe Wetzel,Country,"Yeah, the worst part About not being able to talk to somebody Is that I can't tell anyone how I feel Yeah, the worst part About being alone when I need somebody Is that I only want who I can’t have now Yeah the worst part is that I ain't doing too good And I know it might seem otherwise But I fell in a hole, and I'm starting to dig A lot deeper than I’ve been before Yeah, the worst part About lying is facing the truth when it comes And when it comes you won't be satisfied And the worst part About loving you is knowing that you'll never be mine And it drives me wild Yeah, it drives me wild That the worst part is that I ain't doing too good And I know it might seem otherwise But I fell in a hole, and I'm starting to dig A lot deeper than I've been before And the worst part is that I ain't doing too good And I know it might seem otherwise But I fell in a hole, and I'm starting to dig A lot deeper than I’ve ever been Yeah the worst part is that I ain’t doing too good And I know it might seem otherwise But I fell in a hole, and I'm starting to dig A lot deeper than I’ve been before Yeah, I'm stuck in a hole, and I'm starting to dig A lot deeper than I've been beforeEmbedShare URLCopyEmbedCopy"
713,Powerball,Koe Wetzel,Country,"I got high and watched the Powerball today My old girl called to tell me that she's late And I didn't have one single thing to say So I got high and watched the Powerball all day  If I could find the reasons why she left If I could find the reasons why she left  I wouldn't be lonely tonight Lonely tonight  Seasons change, but I'm still the same And I swear that today is like yesterday I'm feelin' sorry 'bout the things that are probably just Always gonna stay the same And it just got cold and it's pissin' me off And this world is straight up screwed Plus she said she's leavin' and my fuckin' dog just died  If I could find the reasons why you left If I could find the reasons why you left I wouldn't be lonely tonight I wouldn't be lonely tonight (Oh)  Oh, if I could find the reasons why you left If I could find the reasons why you left Oh, I Oh, I Oh, I Oh, I  I wouldn't be lonely tonight (So lonely, so lonely, so lonely, so lonely) I wouldn't be lonely tonight (So lonely, so lonely, so lonely, so lonely) I wouldn't be lonely, yeah, yeah (So lonely, so lonely, so lonely, so lonely) (So lonely, so lonely, so lonely)EmbedShare URLCopyEmbedCopy"
714,Front Seat Show,Koe Wetzel,Country,Don't turn your feelings into hate There ain't no time to waste 'Cause bein' alone can do it to you Yeah it will do it to you I stopped tryin' two months before we said bye If I said that I wasn't you now know that I lied I still don't know what I want And I can't sleep 'cause I stay stoned And I might miss you I might even care But you want more than a front seat show And a smoky bar with drink specials all night You didn't know it would be this difficult To love a man who wants this life Now I'm so sorry for the pains I've put you through Girl you have to know I am You won't forget it tomorrow But do the best that you can Two years didn't seem that long I didn't want it to end that way It's pretty shitty on my part to let you go without nothin' to say Now it's been some time and my mind ain't changed The bottles been dry and I ain't complained I still might miss you I might even care But you want more than a front seat show And a smoky bar with drink specials all night You didn't know it would be this difficult To love a man who wants this life Now I'm so sorry for the pains I've put you through Girl you have to know I am You won't forget it tomorrow But do the best that you can You want more than a front seat show and A smoky bar with drink specials all night But you want more than a front seat show And a smoky bar with drink specials all night You didn't know it would be this difficult To love a man who wants this life Now I'm so sorry for the pains I've put you through Girl you have to know I am You won't forget it tomorrow You won't forget it tomorrow Do the best that you can Oh do the best that you canEmbedShare URLCopyEmbedCopy
715,Sober Sunday,Koe Wetzel,Country,"I woke up in the freezing cold Sober on a Sunday Half a pack of cigarettes smoked I ain't used to no headaches Found my closet full of skeletons And made more room For secrets I'd been keeping From this town and you I started grinding up bones Just to fit some more inside And I can still hear her saying Give me something I can use What are you What are you simply feeling right now I need the truth It might hurt but I can take it Tired of waiting this out And I just need to know that this ain't false hope You'll come back sometime Talk to your friends Talk to mama Talk to anyone Who's capable of bad advice Don't throw your feelings Into the same pot And expect them all to come out right And there ain't no sense in holding on To what ain't coming back And when you decide it was all wasted time You can send me the cold heart back Give me something I can use What are you What are you simply feeling right now I need the truth It might hurt but I can take it Tired of waiting this out I just need to know that this ain't false hope I just need to know that You'll come back sometime I can still hear her saying to me Oh, I can still hear her saying to me Ohhhh Give me something I can use What are you What are you simply feeling right now I need the truth It might hurt but I can take it Tired of waiting this out Give me something I can use What are you What are you simply feeling right now I need the truth It might hurt but I can take it Tired of waiting this out I just need to know that this ain't false hope I just need to know that this ain't false hope And that you'll come back some time I woke up in the freezing cold Sober on a SundayEmbedShare URLCopyEmbedCopy"
716,Kuntry & Wistern,Koe Wetzel,Country,"I think I've lost my fuckin' mind, at least that's what you told me I think I must be goin' blind, your love’s been hard for me to see You said that everything was fine, then you pushed me off the edge I think I've lost my fuckin' mind, won't you help me find it Won't you help me find it, I think I've lost my fuckin'  Well your best wasn't the best for me, I did just what you told me and that shit went dry I picked up all the pieces from your lies and all your kisses, 'til your kisses started spittin' on what we built high Don't try to say that I've been crazy when all I've been is happy, all I've been is happy I won't give up easy you should know after all you're a bitch and I hate you, I think  I think I've lost my fuckin' mind, at least that's what you told me I think I might be goin' blind, your love’s been hard for me to see You said that everything was fine, then you pushed me to the edge I think I've lost my fuckin' mind, won't you help me find it Won't you help me find it, I've lost my fuckin'  Won't you help me find it  I think I've lost my fuckin' mind, that's what you told me I think I must be goin' blind, your love’s been hard for me to see You said that everything was fine, then you pushed me to the edge I think I've lost my fuckin' mind, won't you help me find it Won't you help me find it, won't you help me find it Won't you help me find itEmbedShare URLCopyEmbedCopy"
717,Sancho,Koe Wetzel,Country,"Well she don't love him anymore But she can't stand the talk of divorce So she puts it in a lockbox deep inside Far enough away to where he won't find it Six years of marriage and still goin' strong; He ain't got a clue that there's a damn thing wrong Vows and rings and ""forever I do""s Don't mean what they used to And every night that he's gone She gets on the telephone And makes the Devil happy once again When she says: ""Give him just a second In a second he'll be leavin' Then you can give mama What mama's been missin' Really thought I loved him But my love was in his money."" I get so excited I can hear when she's callin Sancho Sancho I'ma love her and spank her Like a backdoor man She says ""My husband can't do this 'Cause my Sancho can."" When he leaves town, that's when I move in And it hearts my heart to do it But I'm a Sancho I'm the SanchoEmbedShare URLCopyEmbedCopy"
718,Broke Musician,Koe Wetzel,Country,"I'm 22 years old Made the devil mad Cause I never wrote My whole name on his dotted line For a fucked up music scene He said that he can really help Million fans and record sales All I'd have to do is come live with his family  Now my health is running downhill Empty barrooms just won't feel Another drunken girl is lying Telling me, my music's great $50 and a headache tab All them drugs that I had to have Promoters swearing that they're doing All they can for me And all I can think about Is what I could be Where I should be Right now  It's sad to say I'm not the same And all my friends know that I've changed When I swore I would never turn into the man I am today Tie me up and beat me down Yell, ""I swear I won't make a sound"" Mold me back into the man I was before I wrote this train Because now my health is running downhill Empty barrooms just won't feel Another drunken girl is lying Telling me, my music's great $50 and a headache tab All them drugs that I had to have Promoters swearing that they're doing All they can for me And all I can think about Is what I could be Where I should be Right now  Woahhh Right now Right now Woahhh  And all I can think about Is how my health is running downhill Empty barrooms just won't feel Another drunken whore is lying Telling me, my music's great $50 and a headache tab All them drugs that I had to have Promoters swearing that they're doing All they can for me And all I can think about Is what I could be Where I should be Right now Right nowEmbedShare URLCopyEmbedCopy"
719,One and Only,Koe Wetzel,Country,"I sure hope we don't end up like them: Faded hearts and fights that never end All the lies and broken promises I'll never do that again And I sure hope we don't end up like them 'Cause you're way too pretty To be crying from those eyes And screaming never looked good on you And I know said this a hundred times A hundred more just won't do: You're my one and only You're my one and only Well I promise, it's not you, it's me And I set out to become what I wanna be And I might not find happiness But I swear that I'll succeed I promise it's not you, it's me You're way too pretty To be crying from those eyes And screaming never looked good on you And I know said this a hundred times A hundred more just won't do: You're my one and only You're my one and only You are the only thing that kept me sane And now I'm seeing in outside my mind And I know that you said someday That I'll be missing your face But I swear I didn't think it'd be tonight 'Cause you're way too pretty To be crying from those eyes And screaming never looked good on you And I know said this a hundred times A hundred more just won't do, well: You're my one and only You're my one and only You're my one and only, yeah You were my one and only…EmbedShare URLCopyEmbedCopy"
720,L.T.W.Y.H.M.,Koe Wetzel,Country,"Well I love the way you hate me, I… Wish you could see the way I love the way you hate me Hell no, baby don't go Pour some wine and unpack your clothes You don’t really wanna leave And you're so much cuter when you're happy, I… Love the way you hate me, I… Wish you could see the way I love the way you hate me Can we just end this fight? I’m outta breath and I'm outta lies, but I've never been true So I guess I'll resort to Bein' in love with the way you hate me, I… Wish you could see the way I love the way you hate me Way you hate me Way you hate meEmbedShare URLCopyEmbedCopy"
721,Good Die Young,Koe Wetzel,Country,"I'm running 'round like a fish with my head cut off I know, it don't make much sense to me either The sun is shinin', I'm still broke as hell But it's good to see the grass got greener My mama called to say she's prayin' for me And Jesus called but I wasn't there He left a message on my answerin' machine Just to tell me how much he cared  And I don't want to think about tomorrow What if tomorrow never comes? Take me to a place without the sorrow The story's gettin' old, where the good diе young  I've terrorized еverything in my eyes And left 'em there to bleed It's hard to hurt something that I love When the only thing I love is me So call the doctor, run for the hills He's going insane, he's ran out of pills He can't be saved, he's too far gone Maybe I'm really alone But I don't want to think about tomorrow What if tomorrow never comes? Take me to a place without the sorrow The story's gettin' old, where the good die young   I don't want to think about tomorrow What if tomorrow never comes? Take me to a place without the sorrow The story's gettin' old, where the good die young  Oh, oh-oh, oh-oh woah Where the good die youngEmbedShare URLCopyEmbedCopy"
722,Drunk Driving,Koe Wetzel,Country,"Yeah, I'm just drunk driving again Pulling away from all of my sins Tell my momma I love her and take care of my friends When I'm out drunk driving again I don't wanna leave you lonely but I've got to 'Cause it's only the things I need to prove To you and everybody else That scares me so damn much I can't take it I'm not strong It's probably best that I move on Get outta here, fade away That's why I'm drunk driving again Running away from all of my sins And tell my momma I love her and take care of my friends When I'm out drunk driving again Everybody's gotta die somehow Why not for me right now, right now Well, I'm out drunk driving again Drunk driving again I'm drunk driving again Running away from all of my sins Tell my mother I lovе her and take care of my friеnds 'Cause I'm just drunk driving again Yeah, I'm drunk driving againEmbedShare URLCopyEmbedCopy"
723,FGA,Koe Wetzel,Country,"I've been trying to find a way to tell you That I don't hurt no more I'm feeling sorry 'bout the things I said But I won't take them back, oh no Was it something that you want to Something that you need to get off your chest? I'm on a southbound train And it ain't lookin' good from here Now I'm driving down the highway losing my mind It's more than I have to give There ain't no other reason to let you fall So I just give in But if it's so damn hard for you to let me go Then just let me know 'Cause I'll be lonely Peace of mind, it's already moved on Well, I've been trying to find a way to let you know I've been alright It's good to know at the end of the day That I can sleep at night Was it something that you want to Somеthing that you need to get off your chest? I'm on a southbound train And it ain't lookin' good from herе 'Cause when I'm driving down the highway losing my mind It's more than I have to give There ain't no other reason to let you fall So I just give in But if it's so damn hard foryou to let me go Then just let me know 'Cause I'll be lonely Peace of mind, it's already moved on You ain't never gonna change You ain't never gonna change You ain't never gonna change You ain't never gonna change, oh no You ain't never gonna change You ain't never gonna change, oh no 'Cause when I'm driving down the highway losing my mind It's more than I have to give There ain't no other reason to let you fall So I just give in But if it's so damn hard foryou to let me go Then just let me know 'Cause I'll be lonely Peace of mind, it's already moved on Yeah, I'm already goneEmbedShare URLCopyEmbedCopy"
724,Sundy or Mundy,Koe Wetzel,Country,"You don't like anything You sit and laugh at every word I say Fuck your funny games It's rainy outside and I'm too tired to play It's 'bout time we made a change I shot the driver dead and then I grabbed the reigns And drove around until I found a preacher that could save me  Is it Sunday or is it Monday? Who knows  (Hey, check this out) Everybody wants the answers, I Just look and smile I flash my teeth and I make it seem Like everything is doing just fine  But is it Sunday or is it Monday? Who knows  And I can't find a single reason why The days I seem to love you come and go If you fuck me right and leave me wrong Then I will probably never let you go Is it Sunday or is it Monday? I don't know   So we might as well live our life Without a single worry in the world Even though it's likely we will die We'll die without ever needing to know  If it's Sunday or if it's Monday 'Cause I don't know And I can't tell if it's Sunday or if it's Monday Who fucking knowsEmbedShare URLCopyEmbedCopy"
725,She Can’t Stop Crying,Koe Wetzel,Country,Day's have been darker Nights have grown longer The hangover's stronger Than the dark days before I have to leave you Cuz I'm not happy I need something more than a smile on my face Broken to pieces I have defeated the truth Telling you That I can't stop doing what I do And she can't stop cryingEmbedShare URLCopyEmbedCopy
726,Never Leave,Koe Wetzel,Country,"I got out and stayed away And I just visit family and friends I tell stories to keep me entertained And they believe every word I say And there ain't much to this town I guess But I'll probably come back to die Ain't it funny how some things never change How hard it is to cover up lies?  'Cause Ferndale Creek still runs the same as it did five years ago And the high school still does an awful job Of teaching kids what they need to know And my ex-girlfriend's got two boyfriends And that's funny as hell to me I guess that's how it goes When you stay back home and never leave  You talk trash, you're cussin' up and down That you were here to make the first move Pretty soon they'll make you the mayor Or at least you hope they do And I may be wrong, hell, it might be heaven But every time I pass that sign It's the same old stuff, ain't a damn thing changed 'Cause everybody's high And Ferndale Creek still runs the same as it did five years ago And the high school still does an awful job Of teaching kids what they need to know And my ex-girlfriend's got two boyfriends And that's funny as hell to me I guess that's how it goes When you stay back home and never leave  'Cause Ferndale Creek still runs the same as it did five years ago And the high school still does an awful job Of teaching kids what they need to know And my ex-girlfriend's got two boyfriends And that's funny as hell to me I guess that's how it goes When you stay back home and never leave 'Cause Ferndale Creek still runs the same as it did five years ago And the high school still does an awful job Of teaching kids what they need to know And my ex-girlfriend's got two boyfriends And that's funny as hell to me I guess that's how it goes When you stay back home and never leave I guess that's how it goes When you stay back home and never leave, oh, yeah And there ain't much to this town I guess But I'll probably come back to die Guess we'll see just how that goes When I move back home and never leaveEmbedShare URLCopyEmbedCopy"
727,Cold & Alone,Koe Wetzel,Country,"She said I need to speak About the things that are bothering me I can't explain the way I feel Is this heaven or hell? I keep it locked in a cell while she screams I need to talk about it I wish I could see The picture my momma painted for me You weren't in it but God almighty I got your picture by the phone If you call and I'm home I'll say I wanna talk about How you've been searching for the missing Pieces to your heart and more and came back Into it with nothing to show and you left me Cold and alone Cold and alone Well, things change but I'm not worried about The changing of things as you figurе it out And the loving and the leaving whеn you knew I was down Is it easy to sleep at night? When you been searching for the missing pieces To your heart and more and came back Into it with nothing to show and you left me Cold and alone, cold and alone Left me cold and alone, cold and alone You left me cold and You left me cold and alone You left me cold and You've been searching for the missing pieces To your heart and more and came back Into it with nothing to show and you left me Cold and alone, cold and alone Cold and alone, cold and alone Left me cold and alone, cold and aloneEmbedShare URLCopyEmbedCopy"
728,Ragweed,Koe Wetzel,Country,"She misses Ragweed like I do And her mom really thinks I'm trash Along with her second stepdad too And she’s kinda weird and a full time goon Yeah but she misses Ragweed like I I wanted you to know That you're everything to me Cause I've been hooked on those eyes, the way you smile That dirty mouth saying fuck me now I think my friends will hate her But it’s hard not to love her Well she misses Ragweed like I do And her mom already thinks I'm trash Along with her asshole stepdad too And she's kinda weird and a full time goon Yeah but she misses Ragweed like I do Tries to tell me that Oklahoma's better But I ain't got time for that We've been wasting time getting drunk, getting high I can't believe I fell in love Well she misses Ragweed like I do And her mom already thinks I'm trash Along with her asshole stepdad too And she’s kinda weird and a full time goon Yeah but she misses Ragweed like I do Well she misses Ragweed like I do And her mom already thinks I’m trash Along with her bitch ass stepdad too And she's kinda weird and a full time goon Yeah but she misses Ragweed like I do3EmbedShare URLCopyEmbedCopy"
729,Lonely as It Gets,Koe Wetzel,Country,"I've got an empty book of songs that I'd love you to read Throw away your plans, come lay next to me I've got a half a bag of wine that I'd love to share And if it ain't too cold we can go outside Listen to the world and get lost tonight And I'll hold your hand if you want me to  We can dance around in circles, I prefer the waltz Watch wind dance around with the pine tree tops If you only two step, well, two step right into me And, girl, those eyes, you got me feeling so deep inside And I can't sleep, what you doin' to me?  We can go South with the windows down You got me crazy, driving all over town Tell me, if I can do it, then what you got in it for me? And baby, I'm on the rope, and no, I can't take it You've got my heart, I bet you gon' break it And I swear that I'm givin' it my best Well, I'm as lonely as it gets  And It's been cold Like that heart that you left before you hit the road And, girl, I swear I've only missed you a little bit Well, you can do what you want to, say what you think But we all know its just a little game you play But, baby, not today 'Cause we can go South with the windows down Got me crazy, driving all over town Tell me, if I can do it, then what you got in it for me? And baby, I'm on the rope, and no, I can't take it You've got my heart, I bet you gon' break it And I swear that I'm givin' it my best But I'm as lonely as it gets   'Cause we can go South with the windows down You got me crazy, driving all over town Tell me, if I can do it, then what you got in it for me? Yeah Baby, I'm on the rope, and no, I can't take it And you've got my heart, I bet you gon' break it And I swear that I'm givin' it my best But I'm as lonely as it gets  I'm as lonely as it gets Oh, baby I'm lonelyEmbedShare URLCopyEmbedCopy"
730,Between Two Bottles,Koe Wetzel,Country,"Turnin' back or stayin' straight I guess some things are just the same Oh, when you don't know what you need Hangin' 'round like a backup plan Maybe he can but baby, I can't Be there when all else fails  While you're tryin' to decide between what's right and wrong  'Cause I'll be between two bottles Between bar stools, some place awful Between lovin' and leavin' you Tear the book where the chapter ends Between here and where the next one is And put some miles between the two I'm on my way to no damn clue Between you and some place new  I'm sorry baby, but it's not your choice You can't pick up your favorite toys Oh, and leave the rest behind You'll look back and wonder where I'm at But don't you bother tryin' to find a map 'Cause I'm lost right now, and I refuse to be found While you're tryin' to decide between what's right and wrong  I'll be between two bottles Between bar stools, some place awful Between lovin' and leavin' you Tear the book where the chapter ends Between here and where the next one is And put some miles between the two I'm on my way to no damn clue Between you and some place new, oh  Tear the book where the chapter ends Between here and where the next one is And put some miles between the two I'm on my way to no damn clue Between you and some place new, ohEmbedShare URLCopyEmbedCopy"
731,Wine Glass,Koe Wetzel,Country,"5 AM the alarm goes off You woulda thought that it had done something wrong By the way she slams her fist upon the snooze No make up on and just sun shades You know she won't waste the time it takes The lonely never have to much to lose Her wine glass is full of whiskey 'Cause that Merlot just won't do And her heart and home is empty She's still tryna fill that too And that pack of Marlboro Smooths That she keeps behind the bed And she'll break out one or two When she needs to catch her breath Yeah, she needs to catch her breath She'll talk to mom then hang up the phone Try to leave that ole buzz alone Then she'll fight the urge to find out how I've been Well she hates the taste of whiskey but she likes to go insane It's one drink for the pleasure and another for pain She look back and she'll smile when that bottle's gone Her wine glass is full of whiskey 'Cause that Merlot just won't do And her heart and home is empty She's still tryna fill that too And that pack of Marlboro Smooths That she keeps behind the bed And she'll break out one or two When she needs to catch her breath Yeah, she needs to catch her breath Her wine glass is full of whiskey 'Cause that Merlot just won't do And her heart and home is empty She's still tryna fill that too And that pack of Marlboro Smooths That she keeps behind the bed And she'll break out one or two When she needs to catch her breath Yeah, she needs to catch her breath She needs to catch her breathEmbedShare URLCopyEmbedCopy"
732,Forever,Koe Wetzel,Country,"Well I left town with a chip on my shoulder Totin' 27 dollars worth of cheap cocaine Well down another hour just outside of Tyler And a lightnin' storm with lots of rain Hitch hike me a ride with my future ex-wife Hell, I told her that when I got in She said just love me tonight, we’ll forget about the ride And then her mumble turned into a scream  She said, oh baby come on I’ll be gone in the morning by the time you wake up If you want, I can just stay with you forever  So I did what I wanted to, not what I needed to Now I’m addicted to a love that’s gone wrong And it’s my fault, I’m so alone They say she did and she’ll leave and when she’s gone All you’re left with is bad memories And a drug that won’t fix all your mistakes You’ll lay on your knees and say  Oh baby come on I’ll be gone in the morning by the time you wake up If you want, I can just stay with you forever She said, Oh baby come on I’ll be gone in the morning by the time you wake up If you want She said, Oh baby come on I’ll be gone in the morning by the time you wake up If you want, oh I can just stay with you forever She said Oh baby come on I’ll be gone in the morning by the time you wake up If you want  Well I left town with a chip on my shoulder Totin' them 27 dollars worth of cheep cocaine1EmbedShare URLCopyEmbedCopy"
733,Change My Ways,Koe Wetzel,Country,"I wonder if I'll ever change my ways, or if I'll go scot free I wonder if there's a price to pay for all this whiskey I drink Yeah, will I get better or will I get worse? Will my heart heal or is the damn thing cursed? Left my hometown just chasin' dreams and I wonder if I'll change my ways  Well, my mama says I'm living life all wrong My face ain't shaved and my hair's too long I'm screaming liquor over beer any day And I wonder if I'll change my ways  'Cause I'm gone, moving on 'Cause I'm tired of living in the past I'm gone, come along with me I ain't coming back  I don't ever go to class and I need church more I don't remember last night or the one before Spend my whole paycheck in one damn day And I wonder if I'll change my ways  And I'm gone, moving on 'Cause I'm tired of living in the past I'm gone, come along with me And I'm gone, moving on 'Cause I'm tired of living in the past I'm gone, come along with me You know I ain't coming back, yeah1EmbedShare URLCopyEmbedCopy"
734,Post-Sellout,Koe Wetzel,Country,"Hey, what's up guys (Koe what's going on man?) Hey, the girl up at the front desk, she bad as hell Oh, Tiffany? (Yeah, she's fine) Yeah, she's a, she's a very, beautiful young woman So um, we've got everything set Do you need any umm, water or Fresca? Nah, man I'm good, appreciate it though Um, just uh, come sit right here Love the record by the way What we're going to do here is we're gonna sign right here Just initial there Thеre And down at the bottom You're all sеt Welcome to the team Wait, does this make me a sellout? There was a man He had a chicken farm He did it right and he knew it was right Where the money would flow in His grandaddy told him when he was a young boy He said son you're gonna die on this chicken farm So you better get used to shoveling manures and One day he went home And his wife was sucking some dick From one of his homeboys And he said why'd you do it to me She just cried and he let his homeboy just leave And so they fucked for a second And finally they quieted She cooked up some fried chicken And they started moving silent Through the kitchen to some old song They didn't know what was wrong Until the children came in and said Mom and Dad what are you doing And they said nothing we're just boot scootin' Around the kitchen at nine O'clock in the night The next morning he said baby, don't worry I gotta go to work but it's not in a hurry I can got time for, to love on you But I gotta question for you Did he stick his finger in your ass? Like you like it, like you let me do I can't handle it if you let him stick his finger in it I won't have it no way in hell I'll shoot him in the face and go straight to jail But I got some chickens that need feedin' Cows at home they need to be grazin' But they won't do it without me, no While my fucking wife is a whore Why do you like to suck mean dick every goddamn night I wish you weren't such a whore But I kinda like it because it makes me horny Baby, please come back to me Is your mom available?EmbedShare URLCopyEmbedCopy"
735,Crying From The Bathroom,Koe Wetzel,Country,"I got a picture of Jesus on my phone 'Cause he's watchin', he's always watching' (Alright here we go) You called me crying from the bathroom He must be running around again It doesn't seem very like you To be wasting all your time on a bitch like him I bet your momma says that she loves it That's 'cause he reminds her of me And if I know your dad Well then he's probably mad that you're with him It's not meant to be, yeah I bet you found out that I left home I guess without you it made sense to lеave And tell your best friеnds to stop calling my phone Since you left I've grown to get a little lonely But I'd never do it to ya, but then again maybe I would And I'm ok And I've moved on And I'm ok And I've moved on And I'm ok And I've moved on And I'm ok I'm oh, I'm ok, yeah You called me crying from the bathroom He must be running around again You called me crying from the bathroom I fuckin' wish you'd never call this phone againEmbedShare URLCopyEmbedCopy"
